iter	Passed	Remaining
0	100	8919
1	110	4859
2	208	6038
3	301	6477
4	411	6992
5	524	7347
6	645	7651
7	742	7610
8	840	7566
9	940	7527
10	1046	7516
11	1148	7463
12	1245	7378
13	1348	7320
14	1470	7352
15	1570	7263
16	1675	7193
17	1769	7078
18	1866	6974
19	1960	6863
20	2066	6789
21	2172	6716
22	2284	6654
23	2392	6579
24	2441	6348
25	2548	6272
26	2640	6160
27	2740	6069
28	2847	5989
29	2939	5878
30	3039	5784
31	3150	5709
32	3243	5602
33	3340	5501
34	3436	5400
35	3541	5311
36	3632	5203
37	3662	5012
38	3756	4912
39	3776	4721
40	3875	4631
41	3976	4544
42	4077	4457
43	4179	4369
44	4287	4287
45	4397	4206
46	4424	4047
47	4522	3957
48	4619	3865
49	4718	3775
50	4814	3681
51	4911	3589
52	5002	3492
53	5097	3398
54	5198	3307
55	5305	3221
56	5401	3126
57	5495	3031
58	5599	2941
59	5699	2849
60	5829	2771
61	6055	2734
62	6188	2652
63	6289	2554
64	6405	2463
65	6519	2370
66	6621	2273
67	6792	2197
68	6920	2106
69	7027	2007
70	7133	1909
71	7235	1808
72	7336	1708
73	7443	1609
74	7542	1508
75	7639	1407
76	7741	1306
77	7847	1207
78	7966	1109
79	8066	1008
80	8157	906
81	8256	805
82	8361	705
83	8483	605
84	8582	504
85	8680	403
86	8784	302
87	8895	202
88	8999	101
89	9106	0
